thai,phonetic,register,definition,note
ถูกเผงเลย,tùuk pěng ləəi,, Spot on!; Exactly!; You hit the nail on the head!,"

-ถูกต้อง(เลย) (tùuk dtɔ̂ng; tùuk dtɔ̂ng ləəi) — has a similar meaning but is a bit less emphatic."
นั่นแหละ,nân-lɛ̀,, Exactly.; That’s it/right.; There you are then.; That’s… (or emphasizes preceding part of sentence).,
(ก็)นั่นน่ะสิ,nân-nâ-sì; gɔ̂ɔ nân-nâ-sì,, Quite right!; Yes…; Exactly!; That’s just it!,
จะไปแล้ว,jà bpai lɛ́ɛo,, (I) gotta get going; I’m gonna go now.; I gotta run.,
ไปไหน,bpai nǎi,, Where are you going?,
พูดเล่น,pûut-lên,, Just joking!; I’m kidding.,
อย่าพูดเล่น,yàa pûut-lên,, Don’t joke around.,
โอ้โฮ,ôo-hǒo,," Wow!; Oh!; Gee!; Holy Cow!; Whoa! (shows surprise in a kind of cute, comical way)",
ตายแล้ว,dtaai-lɛ́ɛo,, Goodness!; Shoot!; Shit! Oh my!,
ทุกอย่างจะดีขึ้นเอง,túk-yàang jà dii kʉ̂n eeng,," Everything will be okay/

work out.; It will all work out.",
อีกแล้วหรือ,ìik lɛ́ɛo rʉ̌ʉ,, Again?!; It happened again?!; You did it again?!,
ไม่ใช่ครั้งแรก,mâi-châi kráng-rɛ̂ɛk,, This/That/It’s not the first time.,
คุณว่าอะไรนะ,kun wâa àrai ná,, What did you say?,"

-คุณพูดว่าอะไรนะ (kun pûut wâa àrai ná) — is a bit longer and less casual way to say this."
ใครว่า,... (krai wâa…),, Who says…?; Who said…?,
โธ่เอ๋ย/โธ่เอ๊ย,tôo-əə̌i/tôo-əə́i,," Oh man!; Come on man!; Oh dear!; Shit!; (Oh), damn!, etc.",
อะไรก็ได้,à-rai gɔ̂ɔ dâi,, Anything’s fine.; Whatever you want.; whatever; anything,
หุบปาก,hùp-bpàak,, Shut up!; Keep quiet!; Shush!; Zip it!,
บอกแล้วไง(...),bɔ̀ɔk lɛ́ɛo ngai…,, I told you…; I told you so.,
อย่ามายุ่ง(กับ...),yàa maa yûng; yàa maa yûng gàp…,, Don’t mess with (me)!; Leave me alone!; Bug off!; Stay out of it!,
พูดง่ายแต่ทำยาก,pûut ngâai dtɛ̀ɛ tam yâak,, Easier said than done!; Easy to say but difficult to do.,
